preco;valor_m2;quartos;suites;vagas;espaco;latitude;longitude
875000.0;9408.0;3;2;2;93.0;-15.84067;-48.02206
650000.0;6842.0;3;2;2;95.0;-15.84067;-48.02206
740000.0;7312.0;1;2;2;101.0;-15.84067;-48.02206
1480000.0;8222.0;4;2;2;180.0;-15.835735462934;-48.02866838915
1180000.0;9007.0;3;3;3;131.0;-15.84060973365;-48.027706587243
3300000.0;9166.0;5;5;5;360.0;-15.83263347211;-48.014091547176
275000.0;6111.0;2;0;0;45.0;-15.830976955297;-48.011021404263
1100000.0;7006.0;4;3;3;157.0;-15.832000002652;-48.036129995266
699000.0;6786.0;3;2;2;103.0;-15.84060973365;-48.027706587243
510000.0;8803.0;2;1;1;57.0;-15.84067;-48.02206
625000.0;8012.0;3;2;2;78.0;-15.829993262634;-48.039328560105
365000.0;9864.0;1;0;0;37.0;-15.838701645321;-48.036807093913
510000.0;8947.0;2;1;1;57.0;-15.838053465316;-48.03806388527
620000.0;7560.0;3;2;2;82.0;-15.83263347211;-48.014091547176
910000.0;8843.0;3;2;2;102.0;-15.838328619067;-48.037296854433
360000.0;8181.0;1;0;0;44.0;-15.836631976279;-48.042906345641
740000.0;9024.0;3;2;2;82.0;-15.836122270133;-48.040183520072
565000.0;8828.0;2;1;1;64.0;-15.838345569024;-48.029974218802
898000.0;11512.0;1;2;2;78.0;-15.836918381182;-48.039159954942
880000.0;8301.0;2;2;2;106.0;-15.841345122238;-48.019032846386
498000.0;7217.0;1;2;2;69.0;-15.838349985815;-48.023145002324
479000.0;8953.0;2;2;2;53.0;-15.84067;-48.02206
960000.0;6274.0;4;3;3;153.0;-15.839853435547;-48.018081673041
630000.0;10920.0;1;1;1;57.0;-15.83455;-48.03885
950000.0;8050.0;3;2;2;118.0;-15.83693499483;-48.015079976998
440000.0;7195.0;3;2;2;61.0;-15.84067;-48.02206
899900.0;8736.0;3;2;2;103.0;-15.84067;-48.02206
480000.0;7868.0;2;1;1;61.0;-15.834165006333;-48.038544989209
300000.0;9090.0;1;1;1;33.0;-15.84067;-48.02206
1150000.0;10550.0;2;2;2;109.0;-15.84067;-48.02206
880000.0;11428.0;3;2;2;77.0;-15.84067;-48.02206
300000.0;9375.0;1;1;1;32.0;-15.84067;-48.02206
659000.0;8135.0;3;0;0;81.0;-15.83263347211;-48.014091547176
1350000.0;9310.0;4;3;3;145.0;-15.835205011924;-48.030154997497
1100000.0;10091.0;3;2;2;109.0;-15.837020008283;-48.016994990416
830000.0;8137.0;4;3;3;102.0;-15.837084988988;-48.02021498234
865000.0;8564.0;3;2;2;101.0;-15.836495007778;-48.011199994018
2150000.0;9110.0;2;2;2;236.0;-15.838701645321;-48.036807093913
315000.0;8513.0;1;1;1;37.0;-15.83871;-48.02517
499000.0;8910.0;2;1;1;56.0;-15.836122270133;-48.040183520072
570000.0;6951.0;2;1;1;82.0;-15.834902512606;-48.019895881256
949000.0;7592.0;3;2;2;125.0;-15.84067;-48.02206
305000.0;9242.0;1;1;1;33.0;-15.839090003091;-48.025080006581
780000.0;8226.0;3;2;2;94.0;-15.84067;-48.02206
950000.0;6250.0;4;3;3;152.0;-15.839853435547;-48.018081673041
720000.0;8780.0;3;2;2;82.0;-15.836495007778;-48.011199994018
1300000.0;8125.0;2;1;1;160.0;-15.833969561015;-48.036708072058
390000.0;10540.0;1;0;0;37.0;-15.84067;-48.02206
420000.0;8505.0;2;0;0;49.0;-15.84067;-48.02206
1150000.0;7419.0;3;2;2;155.0;-15.84067;-48.02206
890000.0;6180.0;3;2;2;144.0;-15.835735462934;-48.02866838915
265000.0;8548.0;1;1;1;31.0;-15.841842667042;-48.021175574139
999000.0;7072.0;4;2;2;141.0;-15.84067;-48.02206
829500.0;7029.0;2;1;1;118.0;-15.834840000996;-48.01474998147
510000.0;8947.0;2;1;1;57.0;-15.838053465316;-48.03806388527
480000.0;8571.0;2;1;1;56.0;-15.836122270133;-48.040183520072
340000.0;11333.0;1;0;0;30.0;-15.834165006333;-48.038544989209
715000.0;8827.0;3;2;2;81.0;-15.835195016505;-48.015859996907
539000.0;9293.0;2;1;1;58.0;-15.84067;-48.02206
450000.0;9183.0;1;1;1;49.0;-15.834902512606;-48.019895881256
680000.0;8395.0;3;2;2;81.0;-15.838685071444;-48.028773031088
920000.0;9061.0;2;2;2;101.0;-15.84067;-48.02206
534900.0;7983.0;2;1;1;67.0;-15.829993262634;-48.039328560105
550000.0;6707.0;2;2;2;82.0;-15.83263347211;-48.014091547176
290000.0;8787.0;1;0;0;33.0;-15.830381600035;-48.032633560512
550000.0;7142.0;2;2;2;77.0;-15.84067;-48.02206
799000.0;7895.0;3;2;2;101.0;-15.836495007778;-48.011199994018
465000.0;8157.0;2;1;1;57.0;-15.838345569024;-48.029974218802
555000.0;8043.0;2;2;2;69.0;-15.83263347211;-48.014091547176
1085000.0;9117.0;4;3;3;119.0;-15.844604958131;-48.032664723176
1370000.0;8303.0;4;3;3;165.0;-15.84060973365;-48.027706587243
440000.0;8627.0;2;1;1;51.0;-15.829993262634;-48.039328560105
1690000.0;8941.0;4;4;4;189.0;-15.843075011318;-48.028464996269
795000.0;7644.0;3;2;2;104.0;-15.841345122238;-48.019032846386
1500000.0;10273.0;3;3;3;146.0;-15.829135005283;-48.030129977516
795000.0;8195.0;4;0;0;97.0;-15.841181517634;-48.03821302233
500000.0;9877.0;1;0;0;50.0;-15.84067;-48.02206
1100000.0;8527.0;3;3;3;129.0;-15.840054990649;-48.022309997129
1097000.0;9296.0;3;2;2;118.0;-15.84060973365;-48.027706587243
665000.0;7916.0;3;2;2;84.0;-15.84067;-48.02206
530000.0;8548.0;2;1;1;62.0;-15.838345569024;-48.029974218802
565000.0;8071.0;2;1;1;70.0;-15.833969561015;-48.036708072058
675000.0;7500.0;4;2;2;90.0;-15.837371178171;-48.038556163428
420000.0;8235.0;2;0;0;51.0;-15.836631976279;-48.042906345641
1280000.0;10322.0;3;3;3;124.0;-15.836200006696;-48.033500005507
605000.0;9603.0;3;2;2;63.0;-15.84067;-48.02206
780000.0;7289.0;3;2;2;107.0;-15.841345122238;-48.019032846386
995000.0;8291.0;3;2;2;120.0;-15.837135007995;-48.029319992303
820000.0;10000.0;3;2;2;82.0;-15.844959835383;-48.027943339188
740000.0;8915.0;3;2;2;83.0;-15.84060973365;-48.027706587243
980000.0;8828.0;2;1;1;111.0;-15.838349985815;-48.023145002324
845000.0;8284.0;3;2;2;102.0;-15.841842667042;-48.021175574139
495000.0;7071.0;2;1;1;70.0;-15.83263347211;-48.014091547176
499000.0;7128.0;3;2;2;70.0;-15.836485012358;-48.018820024104
1100000.0;8088.0;3;2;2;136.0;-15.841345122238;-48.019032846386
615000.0;9044.0;3;2;2;68.0;-15.834840000996;-48.01474998147
625000.0;7911.0;3;2;2;79.0;-15.84060973365;-48.027706587243
780000.0;9873.0;3;2;2;79.0;-15.839317797727;-48.036046158252
649000.0;7211.0;3;2;2;90.0;-15.835687747487;-48.031560570408
880000.0;8301.0;3;2;2;106.0;-15.841345122238;-48.019032846386
535000.0;8106.0;3;2;2;66.0;-15.838349985815;-48.023145002324
265000.0;7571.0;1;0;0;35.0;-15.833969561015;-48.036708072058
1030000.0;10000.0;4;3;3;103.0;-15.84067;-48.02206
1521834.0;9670.0;4;4;4;157.0;-15.834902512606;-48.019895881256
460000.0;9200.0;2;0;0;50.0;-15.84067;-48.02206
780000.0;7722.0;3;2;2;101.0;-15.84067;-48.02206
415000.0;6916.0;2;1;1;60.0;-15.830019987575;-48.015514997773
329900.0;6468.0;2;1;1;51.0;-15.828305008276;-48.01347999741
590000.0;8676.0;3;2;2;68.0;-15.84060973365;-48.027706587243
900000.0;9183.0;4;1;1;98.0;-15.844432049564;-48.026566190314
1699000.0;7865.0;4;4;4;216.0;-15.84067;-48.02206
640000.0;7619.0;1;2;2;84.0;-15.84067;-48.02206
1290000.0;8269.0;4;3;3;156.0;-15.837020008283;-48.016994990416
355000.0;9861.0;1;0;0;36.0;-15.838701645321;-48.036807093913
485000.0;6928.0;3;2;2;70.0;-15.838328619067;-48.037296854433
890000.0;7478.0;3;2;2;119.0;-15.837084988988;-48.02021498234
670000.0;9571.0;2;1;1;70.0;-15.838701645321;-48.036807093913
945000.0;6517.0;4;2;2;145.0;-15.837135007995;-48.029319992303
775000.0;7908.0;3;2;2;98.0;-15.837664995733;-48.031239992953
620000.0;7560.0;3;2;2;82.0;-15.83263347211;-48.014091547176
794900.0;6162.0;3;2;2;129.0;-15.832470870366;-48.010341468159
2800000.0;9859.0;4;3;3;284.0;-15.843415626518;-48.024210171831
1550000.0;8757.0;4;2;2;177.0;-15.837020008283;-48.016994990416
530000.0;7361.0;3;1;1;72.0;-15.854895694028;-48.037294222577
630000.0;8873.0;3;2;2;71.0;-15.84067;-48.02206
420000.0;7500.0;2;1;1;56.0;-15.839090003091;-48.025080006581
205000.0;5857.0;1;0;0;35.0;-15.830019987575;-48.015514997773
1145.0;9.0;3;2;2;122.0;-15.84067;-48.02206
730000.0;9851.0;2;1;1;74.0;-15.84067;-48.02206
1250000.0;6944.0;4;2;2;180.0;-15.858783210934;-48.036077254737
799000.0;8780.0;3;2;2;91.0;-15.841181517634;-48.03821302233
380000.0;8444.0;1;0;0;45.0;-15.844604958131;-48.032664723176
427000.0;7116.0;2;2;2;60.0;-15.83693499483;-48.015079976998
380000.0;7169.0;2;1;1;53.0;-15.84067;-48.02206
1660000.0;9222.0;4;3;3;180.0;-15.838701645321;-48.036807093913
520000.0;8387.0;2;1;1;62.0;-15.832470870366;-48.010341468159
659000.0;7662.0;3;2;2;86.0;-15.838701645321;-48.036807093913
830000.0;8137.0;4;3;3;102.0;-15.837084988988;-48.02021498234
1200000.0;10714.0;3;2;2;112.0;-15.84067;-48.02206
649000.0;7459.0;3;0;0;87.0;-15.83263347211;-48.014091547176
1380000.0;9857.0;4;3;3;140.0;-15.84067;-48.02206
1500000.0;9090.0;4;3;3;165.0;-15.84067;-48.02206
440000.0;8000.0;2;1;1;55.0;-15.854895694028;-48.037294222577
1350000.0;5625.0;3;2;2;240.0;-15.83514;-48.01797
800000.0;6201.0;3;2;2;129.0;-15.84067;-48.02206
930000.0;6503.0;4;2;2;143.0;-15.837135007995;-48.029319992303
456000.0;8290.0;2;0;0;55.0;-15.827749571353;-48.029059288268
540000.0;7297.0;3;2;2;74.0;-15.833969561015;-48.036708072058
2550000.0;9695.0;4;4;4;263.0;-15.836918381182;-48.039159954942
720000.0;10588.0;2;1;1;68.0;-15.834165006333;-48.038544989209
600000.0;8333.0;3;2;2;72.0;-15.841920228821;-48.029991698267
520000.0;9454.0;2;1;1;55.0;-15.83673500262;-48.032885025271
650000.0;9027.0;2;1;1;72.0;-15.841920228821;-48.029991698267
850000.0;8252.0;3;2;2;103.0;-15.844959835383;-48.027943339188
530000.0;8548.0;2;1;1;62.0;-15.832470870366;-48.010341468159
840000.0;8571.0;4;2;2;98.0;-15.84067;-48.02206
